,Name,ID,State,Network,County,Elevation_feet,Latitude,Longitude
1842,Elizabethtown,CCLA,KY,KentuckyMesonet,Hardin,746,37.68,-85.98
1843,Harlan,BMTN,KY,KentuckyMesonet,Harlan,4031,36.92,-82.91
1844,Hodgenville,HDGV,KY,KentuckyMesonet,LaRue,831,37.57,-85.7
1845,Richmond,ELST,KY,KentuckyMesonet,Madison,860,37.72,-84.15
1846,Benton,DRFN,KY,KentuckyMesonet,Marshall,469,36.92,-88.34
1847,Calhoun,PVRT,KY,KentuckyMesonet,McLean,404,37.59,-87.32
1848,Shelbyville9NNE,CROP,KY,KentuckyMesonet,Shelby,844,38.33,-85.17
1849,Shelbyville10W,FCHV,KY,KentuckyMesonet,Shelby,770,38.16,-85.38
1850,Franklin,SWZR,KY,KentuckyMesonet,Simpson,740,36.67,-86.61
1851,Morganfield,FRNY,KY,KentuckyMesonet,Union,440,37.69,-87.84
1852,Bowling_Green,FARM,KY,KentuckyMesonet,Warren,559,36.93,-86.47
1853,Wood_River_5SE,A250829,NE,AWDN_Nebraska,Adams,1942,40.45,-98.32
1854,Kearney_5E,A253059,NE,AWDN_Nebraska,Adams,2148,40.4,-98.59
1855,Alda_3W,A253409,NE,AWDN_Nebraska,Adams,1663,40.53,-98.31
1856,Shelton_2SW,A257779,NE,AWDN_Nebraska,Adams,2014,40.44,-98.46
1857,Scottsbluff_6NW,A255599,NE,AWDN_Nebraska,Banner,3601,41.57,-103.42
1858,Scottsbluff_2NW,A257679,NE,AWDN_Nebraska,Banner,3962,41.53,-103.41
1859,Elgin_6W,A252599,NE,AWDN_Nebraska,Boone,2030,41.56,-98.12
1860,Angora_13N,A250138,NE,AWDN_Nebraska,Box_Butte,3979,42.02,-103.09
1861,Sparks_5NE,A258039,NE,AWDN_Nebraska,Brown,2532,42.59,-100.12
1862,Duncan_2W,A255649,NE,AWDN_Nebraska,Butler,1548,41.23,-97.31
1863,Fordyce_4N,A251589,NE,AWDN_Nebraska,Cedar,1483,42.45,-97.21
1864,Grant_1E,A253419,NE,AWDN_Nebraska,Chase,3434,40.5,-101.42
1865,Mullen_30N,A255479,NE,AWDN_Nebraska,Cherry,3109,42.27,-100.54
1866,Sidney_2NW,A257839,NE,AWDN_Nebraska,Cheyenne,4320,41.13,-103.01
1867,Dunning_6NW,A253549,NE,AWDN_Nebraska,Custer,2703,41.54,-100.1
1868,Merna_2SW,A255399,NE,AWDN_Nebraska,Custer,2654,41.27,-99.47
1869,West_Point_2W,A259209,NE,AWDN_Nebraska,Dodge,1450,41.51,-96.45
1870,Champion_5SE,A251599,NE,AWDN_Nebraska,Dundy,3375,40.24,-101.43
1871,York_2W,A259519,NE,AWDN_Nebraska,Fillmore,1607,40.52,-97.38
1872,Axtell_5NE,A255569,NE,AWDN_Nebraska,Franklin,2158,40.32,-99.03
1873,Curtis_1N,A252109,NE,AWDN_Nebraska,Frontier,2572,40.37,-100.3
1874,Dickens_9N,A252319,NE,AWDN_Nebraska,Frontier,3152,40.57,-100.59
1875,Gothenburg_2NW,A253369,NE,AWDN_Nebraska,Frontier,2650,40.57,-100.12
1876,Plymouth_4E,A250629,NE,AWDN_Nebraska,Gage,1233,40.18,-96.56
1877,Ragan_5W,A253919,NE,AWDN_Nebraska,Harlan,2319,40.2,-99.22
1878,Holdrege_5N,A253929,NE,AWDN_Nebraska,Harlan,2319,40.3,-99.22
1879,Smithfield_2E,A258109,NE,AWDN_Nebraska,Harlan,2519,40.34,-99.41
1880,Hayes_Center_3N,A253699,NE,AWDN_Nebraska,Hitchcock,3060,40.33,-101.02
1881,Naper_12SW,A253829,NE,AWDN_Nebraska,Holt,2030,42.5,-99.15
1882,Emmet_3E,A256299,NE,AWDN_Nebraska,Holt,2050,42.28,-98.45
1883,Whitman_5NE,A253479,NE,AWDN_Nebraska,Hooker,3441,42.05,-101.27
1884,Ord_2N,A256339,NE,AWDN_Nebraska,Howard,2050,41.37,-98.57
1885,Firth_3N,A252939,NE,AWDN_Nebraska,Johnson,1404,40.34,-96.37
1886,Walton_5NW,A254699,NE,AWDN_Nebraska,Johnson,1138,40.51,-96.36
1887,Lincoln_1700_N_10th,A254758,NE,AWDN_Nebraska,Johnson,1151,40.5,-96.42
1888,Lincoln_5700_S_27th,A254769,NE,AWDN_Nebraska,Johnson,1240,40.45,-96.41
1889,Lincoln_1500_N_45th,A254809,NE,AWDN_Nebraska,Johnson,1171,40.49,-96.39
1890,Kearney_3E,A254339,NE,AWDN_Nebraska,Kearney,1820,40.43,-99.01
1891,Arthur_8S,A250365,NE,AWDN_Nebraska,Keith,3588,41.27,-101.43
1892,Big_Springs_8NE,A251227,NE,AWDN_Nebraska,Keith,3723,41.09,-101.6
1893,Brule_6SW,A251228,NE,AWDN_Nebraska,Keith,3503,41.01,-101.58
1894,Keystone_3W_Beta,A251549,NE,AWDN_Nebraska,Keith,3165,41.12,-101.39
1895,North_Platte_3SW_Beta,A256079,NE,AWDN_Nebraska,Lincoln,2824,41.09,-100.77
1896,Central_City_3W,A251562,NE,AWDN_Nebraska,Merrick,1735,41.06,-98.03
1897,Guide_Rock_3E,A257079,NE,AWDN_Nebraska,Nuckolls,1719,40.05,-98.17
1898,Harvard_4SW,A257899,NE,AWDN_Nebraska,Nuckolls,1811,40.34,-98.08
1899,Cozad_8N,A251949,NE,AWDN_Nebraska,Phelps,2601,40.58,-99.57
1900,Lexington_4S,A254670,NE,AWDN_Nebraska,Phelps,2385,40.43,-99.45
1901,McCook_4NE,A255319,NE,AWDN_Nebraska,Red_Willow,2598,40.14,-100.34
1902,Ainsworth_2NE,A250059,NE,AWDN_Nebraska,Rock,2509,42.34,-99.5
1903,Long_Pine_20S,A250529,NE,AWDN_Nebraska,Rock,2549,42.14,-99.4
